"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C13, C14, C19, C20, C30, C36","9","22u","000_MyFootprint:CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder",""
"2","C4, C5, C6, C7, C8, C9, C17, C18, C21, C22, C23, C24, C31, C37","14","0.1u","000_MyFootprint:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"3","C10, C27","2","0.01u","000_MyFootprint:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"4","C11","1","0.047uF","000_MyFootprint:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"5","C12","1","220u","000_MyFootprint:CP_Radial_D4.0mm_P1.50mm",""
"6","C15, C16, C28","3","0.1u","000_MyFootprint:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"7","C25, C26","2","1u","000_MyFootprint:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"8","C29","1","2.2u","000_MyFootprint:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"9","C32","1","4700p","000_MyFootprint:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"10","C33, C34","2","1u","000_MyFootprint:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"11","C35","1","0.068u","000_MyFootprint:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"12","D1","1","1N4148","000_MyFootprint:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",""
"13","FB1","1","FerriteBead","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"14","H1, H2, H3, H4","4","MountingHole","000_MyFootprint:MountingHole_3mm",""
"15","J1","1","Joystick","000_MyFootprint:PinSocket_1x06_P2.54mm_Vertical",""
"16","J2, J3","2","TangNano20K","000_MyFootprint:PinSocket_1x20_P2.54mm_Vertical",""
"17","J4, J11, J12","3","5V","000_MyFootprint:PinHeader_1x02_P2.54mm_Vertical",""
"18","J5","1","Vref","000_MyFootprint:PinHeader_1x03_P2.54mm_Vertical",""
"19","J6, J7","2","Conn_02x03_Odd_Even","000_MyFootprint:PinHeader_2x03_P2.54mm_Vertical",""
"20","J8","1","Xout","000_MyFootprint:PinHeader_1x02_P2.54mm_Vertical",""
"21","J9","1","Yout","000_MyFootprint:PinHeader_1x02_P2.54mm_Vertical",""
"22","J10","1","-5V","000_MyFootprint:PinHeader_1x02_P2.54mm_Vertical",""
"23","J13","1","flyback","000_MyFootprint:PinHeader_1x02_P2.54mm_Vertical",""
"24","J14","1","Zout","000_MyFootprint:PinHeader_1x02_P2.54mm_Vertical",""
"25","LS1","1","Speaker","000_MyFootprint:PinHeader_1x02_P2.54mm_Vertical",""
"26","PS1","1","MAU109","000_MyFootprint:SIP-6_without_3pin_for_DCDC_MAU",""
"27","R1","1","1k","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"28","R2, R9, R21","3","3.3k","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"29","R3","1","10","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"30","R4, R5, R6, R7, R16, R17","6","330k","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"31","R8, R18, R20, R23, R26","5","1k","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"32","R10, R11, R12, R13, R14, R15","6","4.7","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"33","R19, R22","2","10k","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"34","R24, R25","2","2.2k","000_MyFootprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"35","RV1, RV4, RV5, RV14","4","10k","000_MyFootprint:Potentiometer_TOCOS_GF063",""
"36","RV2, RV3, RV7, RV12","4","100k","000_MyFootprint:Potentiometer_TOCOS_GF063",""
"37","RV6, RV8","2","1M","000_MyFootprint:Potentiometer_TOCOS_GF063",""
"38","RV9","1","1k","000_MyFootprint:Potentiometer_TOCOS_GF063",""
"39","RV10, RV11","2","3k","000_MyFootprint:Potentiometer_TOCOS_GF063",""
"40","RV13","1","5k","000_MyFootprint:Potentiometer_TOCOS_GF063",""
"41","U1","1","MCP1501-20","Package_TO_SOT_SMD:SOT-23-6",""
"42","U2, U3, U4","3","MCP4911","000_MyFootprint:DIP-8_W7.62mm",""
"43","U5","1","LM386","000_MyFootprint:DIP-8_W7.62mm",""
"44","U6, U9","2","TL072","000_MyFootprint:DIP-8_W7.62mm",""
"45","U7, U8","2","AD8397","000_MyFootprint:DIP-8_W7.62mm_with_SOP8_with_heatpadhole",""
"46","U10","1","NE555","000_MyFootprint:DIP-8_W7.62mm",""
